SUBURB,POBOX,SUBURBCODE,CITY
ATOOM,514,,NYLSTROOM
ATTAWAY,7354,,ATLANTIS
ATTERIDGEVILLE,6,8,PRETORIA
ATTERIDGEVILLE EXT 2,,8,ATTERIDGEVILLE
ATTERIDGEVILLE EXT 3,,8,ATTERIDGEVILLE
ATTERIDGEVILLE EXT 4,,8,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 2,,8,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 3,,8,ATTERIDGEVILLE
ATTERIDGEVILLE UIT 4,,8,ATTERIDGEVILLE
AUCKLAND PARK,2006,2092,JOHANNESBURG
AUDAS EST,,7130,SOMERSET WEST
AUGRABIES,8874,,KAKAMAS
AUGUSTA COUNTRY ESTATE,3626,,PINETOWN
AUREUS,1760,,RANDFONTEIN
AUREUS EXT 3,1760,,RANDFONTEIN
AUREUS UIT 3,1760,,RANDFONTEIN
AURORA,,7550,DURBANVILLE
AURORA,7325,,PIKETBERG
AURORA EST,,7550,DURBANVILLE
AURORA LGD,,7550,DURBANVILLE
AUSTERVILLE,4005,4052,DURBAN
AUSTINVIEW EXT 1,1685,,HALFWAY HOUSE
AUSTINVIEW UIT 1,1685,,HALFWAY HOUSE
AUSTINVILLE,,7580,BLACKHEATH
AVENTURA EILAND,885,,-
AVIAN PARK,,6850,WORCESTER
AVIARYHILL,2940,,NEWCASTLE
AVOCA,,4051,DURBAN NORTH
AVOCA HILLS,4019,4051,DURBAN NORTH
AVONDALE,,7349,ATLANTIS
AVONDALE,,7490,MATROOSFONTEIN
AVONDALE,,7500,PAROW
AVONDALE GARDENS,7800,7800,DIEP RIVER
AVONDALE ROAD,4101,,-
AVONTUUR,6490,,UNIONDALE
AVONWOOD,,7490,MATROOSFONTEIN
AZAADVILLE,1750,1754,-
AZAADVILLE EXT 1,,1754,KAGISO
AZAADVILLE UIT 1,,1754,KAGISO
AZALEA,3200,,PIETERMARITZBURG
AZALEA,3204,,SCOTTSVILLE
AZALEA PARK,,6220,DESPATCH
AZALIA,,2430,STANDERTON
BAARDSKEERDERSBOS,7271,,GANS BAY
BABANANGO,3850,,ESHOWE
BABELEGI,407,,TEMBA
BABETHU,488,,-
BABIRWA,641,,-
BABIRWA,716,,PIETERSBURG
BACA,5160,,LIBODE
BADI,5015,,IDUTYWA
BADPLAAS,1190,,-
BAFOKENG,2711,,-
BAGLEYSTON,,2192,JOHANNESBURG
BAGQOZINI,5138,,-
BAILEYS MUCKLENEUK,,181,WATERKLOOF
BAILLIE PARK,2526,2531,POTCHEFSTROOM
BAIN'S VLEI,9338,,-
BAKENBERG,611,,POTGIETERSRUS
BAKENPARK,,9701,BETHLEHEM
BAKERTON,1578,1559,SPRINGS
BAKERTON EXT 1,,1559,SPRINGS
BAKERTON EXT 2,,1559,SPRINGS
BAKERTON EXT 4,,1559,SPRINGS
BAKERTON EXT 41,,1559,SPRINGS
BAKERTON UIT 1,,1559,SPRINGS
BAKERTON UIT 2,,1559,SPRINGS
BAKERTON UIT 4,,1559,SPRINGS
BAKERTON UIT 41,,1559,SPRINGS
BAKERVILLE,2742,,LICHTENBURG
BAKERVILLE GARDENS,,4037,MARBLE RAY
BAKERVILLE HEIGHTS,,3201,PIETERMARITZBURG
BAKKERSHOOGTE,,7130,SOMERSET WEST
BAKOLOBENG,2781,,VYRBURG
BAKONE,746,,PIETERSBURG
BAKOVEN,,8005,CAPE TOWN
BALEEMA,336,,RUSTENBURG
BALFOUR,5740,5740,EASTERN CAPE
BALFOUR,2410,,MPUMALANGA
BALFOUR EXT 6,2410,,BALFOUR
BALFOUR NORTH,2410,2410,BALFOUR
BALFOUR UIT 6,2410,,BALFOUR
BALFOUR-NOORD,2410,2410,BALFOUR
BALGOWAN,3275,,HOWICK
BALLI HI HOTEL,2942,,NEWCASTLE
BALLITO,4420,,TONGAAT
BALLOT VIEW,,6529,GEORGE
BALMORAL,,5319,QUEENSTOWN
BALMORAL,1037,,WITBANK
BALOPA,782,,PIETERSBURG
BALTIMORE,619,,POTGIETERSRUS
BALVENIE,,7490,MATROOSFONTEIN
BAMAAKA,2842,,MADIKWE
BAMARE-A-PHOGOLE,2843,,MADIKWE
BAMBAY,4310,4309,INANDA
BAMBISANANI,3855,,NKANDLA
BAMBISANE,4820,,LUSIKISIKI
BAMOKGOKO,432,,HAMMANSKRAAL
BAMSHELA,3261,,OZWATINI
BANBURY,2164,,JOHANNESBURG
BANDELIERKOP,800,,PIETERSBURG
BANHOEK,,7600,STELLENBOSCH
BANKIES,5341,,LADY FRERE
BANKSDRIF,8576,,TAUNG
BANNERS REST,4295,,PORT EDWARD
BANTRY BAY,,8005,CAPE TOWN
BANTRYBAAI,,8005,KAAPSTAD
BANZI POORT,5380,,COFIMVABA
BAPHALANE,349,,RUSTENBURG
BAPO II,337,,RUSTENBURG
BAPONG,269,,BRITS
BAPSFONTEIN,1510,,-
BARAGWANATH,2013,,JOHANNESBURG
BARANDAS,6480,,UNIONDALE
BARASEBA,271,,BRITS
BARATHEO,338,,RUSTENBURG
BARBAROSA EST,,7806,CONSTANTIA
BARBERSPAN,2765,,-
BARBERTON,1300,,-
BARBERTON EXT,1300,,BARBERTON
BARBERTON EXT 1,1300,,BARBERTON
BARBERTON EXT 2,1300,,BARBERTON
BARBERTON EXT 3,1300,,BARBERTON
BARBERTON EXT 4,1300,,BARBERTON
BARBERTON EXT 5,1300,,BARBERTON
BARBERTON EXT 6,1300,,BARBERTON
BARBERTON EXT 7,1300,,BARBERTON
BARBERTON UIT,1300,,BARBERTON
BARBERTON UIT 1,1300,,BARBERTON
BARBERTON UIT 2,1300,,BARBERTON
BARBERTON UIT 3,1300,,BARBERTON
BARBERTON UIT 4,1300,,BARBERTON
BARBERTON UIT 5,1300,,BARBERTON
BARBERTON UIT 6,1300,,BARBERTON
BARBERTON UIT 7,1300,,BARBERTON
BARCELONA,,5881,CRADOCK
BARCELONA,1519,,DAVEYTON
BARCELONA,7000,,DE AAR
BARCELONA,,6506,MOSSELBAY
BARCELONA EXT,1519,,DAVEYTON
BARCELONA EXT 26,1519,,DAVEYTON
BARCELONA UIT,1519,,DAVEYTON
BARCELONA UIT 26,1519,,DAVEYTON
BARDENE,1460,1459,BOKSBURG
BARDENE EXT 1,,1459,BOKSBURG
BARDENE EXT 13,,1459,BOKSBURG
BARDENE EXT 19,,1459,BOKSBURG
BARDENE EXT 2,,1459,BOKSBURG
BARDENE EXT 20,,1459,BOKSBURG
BARDENE EXT 29,,1459,BOKSBURG
BARDENE EXT 4,,1459,BOKSBURG
BARDENE EXT 5,,1459,BOKSBURG
BARDENE UIT 1,,1459,BOKSBURG
BARDENE UIT 13,,1459,BOKSBURG
BARDENE UIT 19,,1459,BOKSBURG
BARDENE UIT 2,,1459,BOKSBURG
BARDENE UIT 20,,1459,BOKSBURG
BARDENE UIT 29,,1459,BOKSBURG
BARDENE UIT 4,,1459,BOKSBURG
BARDENE UIT 5,,1459,BOKSBURG
BARKLY EAST,9786,9786,-
BARKLY WEST,8375,8375,-
BARKLY-OOS,9786,9786,-
BARKLY-WES,8375,8375,-
BARLOW PARK,2148,,JOHANNESBURG
BARODA,5882,5882,CRADOCK
BARRY HERTZOGPARK,2945,,NEWCASTLE
BARRYDALE,6750,6750,-
BARTLETTS,,1459,BOKSBURG
BARTLETTS EXT 10,,1459,BOKSBURG
BARTLETTS EXT 14,,1459,BOKSBURG
BARTLETTS EXT 18,,1459,BOKSBURG
BARTLETTS EXT 6,,1459,BOKSBURG
BARTLETTS UIT 10,,1459,BOKSBURG
BARTLETTS UIT 14,,1459,BOKSBURG
BARTLETTS UIT 18,,1459,BOKSBURG
BARTLETTS UIT 6,,1459,BOKSBURG
BARVALE,1202,,NELSPRUIT
BARVALLEN,,1401,GERMISTON
BASEBO,2855,,MAFIKENG
BASHEE BRIDGE,5100,,UMTATA
BASSONIA,2061,,JOHANNESBURG
BASSONIA 1,2061,,JOHANNESBURG
BASSONIA 2,2061,,JOHANNESBURG
BASSONIA EXT 1,2061,,JOHANNESBURG
BASSONIA UIT 1,2061,,JOHANNESBURG
BASTERPAD,633,,MOKAMOLE
BATAUNG,357,,MAFIKENG
BATHO,9307,9323,BLOEMFONTEIN
BATHOBATHO,2716,,-
BATHURST,6166,,-
BATLHAROS,8476,,VRYBURG
BATUBATSE,1398,,-
BAVIAANSPOORT,,186,LYNN EAST
BAWA,4960,,BUTTERWORTH
BAY VIEW,,6520,HARTENBOS
BAYALA,3966,,MKUZE
BAYHEAD,4052,,DURBAN
BAYNESFIELD,3770,,SCOTTSVILLE
BAYRIDGE,,7441,TABLE VIEW
BAYSVILLE,,5241,EAST LONDON
BAYSWATER,,9301,BLOEMFONTEIN
BAYVIEW,4084,4092,CHATSWORTH
BAYVIEW,,7798,STRANDFONTEIN
BAYVIEW MCP,4142,,CHATSWORTH
BAYWATCH,,7798,STRANDFONTEIN
BAZINI,3950,,NONGOMA
BAZIYA,5109,,UMTATA
BEACH,,4001,DURBAN
BEACH,,5201,EAST LONDON
BEACH BOULEVARD,,7441,MILNERTON
BEACH EST,,7806,HOUT BAY
BEACH FRONT,4240,,PORT SHEPSTONE
BEACHVIEW,6011,,EMERALD HILL
BEACHWOOD,,4051,DURBAN NORTH
BEACON BAY,5205,5241,EAST LONDON
BEACON HILL,,7349,ATLANTIS
BEACON VALLEY,,7785,MITCHELLS PLAIN
BEACONBAAI,5205,5241,OOS-LONDEN
BEACONSFIELD,8315,8301,KIMBERLEY
BEACONSFIELD,,1939,VEREENIGING
BEACONVALE,,7500,PAROW
BEAUFORT WEST,6970,6970,-
BEAUFORT-WES,6970,6970,-
BEAUMONT,,9585,PARYS
BEDELIA,,9459,WELKOM
BEDFORD,5780,5780,-
BEDFORD GARDENS,,2007,JOHANNESBURG
BEDFORDPARK,,2007,JOHANNESBURG
BEDFORDVIEW,2008,2007,JOHANNESBURG
BEDFORDVIEW EXT 3,,2007,-
BEDFORDVIEW UIT 3,,2007,-
BEDWANG,408,,TEMBA
BEDWORTH PARK,1940,,VEREENIGING
