SUBURB,POBOX,SUBURBCODE,CITY
LETSITELE,885,885,-
MANORS,,3610,PINETOWN
MARIMBA GARDENS UIT 2,,1475,RUSLOO
MINDALORE-SUID,,1739,KRUGERSDORP
MARKET SQUARE,,7200,HERMANUS
MONDEOR UIT 3,,2091,JOHANNESBURG
LIEBEN GLEN,,7530,BELLVILLE
MBALISWENI,5180,,QUMBU
MACEKANA,3880,,EMPANGENI
LUVUYO PARK,,7784,KHAYELITSHA
MEYERTON PARK,,1961,MEYERTON
MORELETAPARK UIT 1,44,,MORELETAPARK
NIETVERDIEND,2874,,ZEERUST
MOTLHABENG,2777,,MMABATHO
NEW TOWNSHIP,8301,8301,KIMBERLEY
MOTSWEDING,8576,,TAUNG STA
KOO,,6720,MONTAGU
MALANSHOF,,2194,JOHANNESBURG
MOROKE,1154,,PENGE
NEWMARKET PARK EXT 1,,1449,ALBERTON
MEADOWDALE,1614,,EDENVALE
MASHAU,943,943,LOUIS TRICHARDT
MULBARTON EXT 2,2059,,JOHANNESBURG
KOINGNAAS,8249,,KLEINSEE
MAMATSHA,879,,-
MELKBOSSTRAND,7437,7441,CAPE TOWN
MNATO,4066,,NTOKOZWENI
MORNINGSIDE,2057,2196,JOHANNESBURG
NEW REST,,5319,QUEENSTOWN
LONELY PARK,2768,,MAFIKENG
MABOLOKE,1126,,LYDENBURG
LEISURE BAY,4278,,MUNSTER
MAFATSANA UIT 1,,1984,MAFATSANA
MATSHELAPATA,764,,BOYNE
MASOHENG,1821,,LENASIA
NETHERBY,3228,,IMPENDLE
MTSHANYANA,5380,,COFIMVABA
NGUNI SECTION,,1475,RUSLOO
MOKAMOLE,633,,POTGIETERSRUS
LA MONTAGNE EXT 1,,184,SILVERTON
LENASIA UIT 3,,1827,LENASIA
MERITING,9323,9323,KAGISANONG
MANGEZI,3886,,KWADLANGEZWA
MOLELEKE,,1434,KWENZEKILE
MOEDWIL,315,,RUSTENBURG
MTUKUKAZI,5136,,TABANKULU
MPHE-BATHO,412,,-
MULBARTON UIT 4,2059,,JOHANNESBURG
NIGEL UIT 1,,1491,NIGEL
NOOITGEDACHT,2620,,ORKNEY
MAGALIES VIEW EXT 24,2067,,MAGALIES VIEW
LYME PARK,2060,,BRYANSTON
KWATHEMA,1563,1575,SPRINGS
MAGALIES VIEW EXT 8,2067,,MAGALIES VIEW
LENASIA UIT 9,1821,,LENASIA
LETSOPO,2610,,OTTOSDAL
MAPHOITSILE,8575,,MAGOGONG
MASHOBOHLENG,821,,PIETERSBURG
LANGLAAGTE,2102,2092,JOHANNESBURG
KGAKALA EXT 3,2640,,LEEUDORINGSTAD
LENYENYE,857,857,TZANEEN
LEEUHOF UIT 1,,1939,VEREENIGING
KOWIE-WES,6171,6170,PORT ALFRED
LETSWATLA,849,,BOCHUM
LAKESIDE,6017,,PORT ELIZABETH
MOERAS RIVER,6300,,HUMANSDORP
MOSELVILLE,6232,6229,UITENHAGE
KATSHABALALA,,2351,ERMELO
LUSAKA,9869,,WITSIESHOEK
LLANDUDNO,,7806,CONSTANTIA
MADIBA PARK,795,,SESHEGO
MAYFAIR,2108,2092,JOHANNESBURG
MAGUDU,3160,,PONGOLA
MONTE CARLO,4146,,MALVERN
LOCHIEL,2337,2337,ERMELO
LEKAZI,1214,,KANYAMAZANE
LAS VEGAS,1519,,-
KWENZEKILE,1433,1434,-
KTC,7750,7750,GUGULETU
LEONDALE,1424,1401,GERMISTON
LENASIA SOUTH EXT 5,,1827,LENASIA
LENASIA-SUID UIT 11,,1827,LENASIA
MAKADIKWE,1062,,MARBLE HALL
MOSENTHAL,393,,RUSTENBERG
LINDENE,,8301,KIMBERLEY
KWA FAKUDE,3950,,NONGOMA
MOOIRIVIER,3300,,ESTCOURT
KOKOSI EXT 2,2515,2515,KOKOSI
KOKOSI EXT 1,2515,2515,FOCHVILLE
MEADOWLANDS EXT 2,,1852,MEADOWLANDS
MATSHETSHA,4810,,FLAGSTAFF
MOUNT CROIX,,6001,PORT ELIZABETH
MAGOAI,798,,PIETERSBURG
MENLYN UIT 2,,181,WATERKLOOF
MARASHU,4810,,FLAGSTAFF
MCNAUGHTON,,6241,GAMBLEVILLE
NINAPARK UIT 7,156,,NINAPARK
MATHOLESVILLE,1725,,ROODEPOORT
LAURIEN CREST,4028,,DURBAN
LENASIA SOUTH EXT 13,,1827,LENASIA
KOFFIEFONTEIN,9986,9986,-
MBOKAZI,4820,,LUSIKISIKI
LONEHILL UIT 13,2062,,JOHANNESBURG
MAILULU EXT 3,,1475,RUSLOO
MAJANENG,402,,HAMMANSKRAAL
MARULAKOLOLO,636,,POTGIETERSRUS
MELK RIVER,541,,POTGIETERSRUS
MELTON VILLAGE,,7100,EERSTE RIVER
KOEDOESPOORT,,186,PRETORIA
MAPETLA UIT 1,,1818,TSHIAWELO
KWADWESI STAGE 2,,6201,ZWIDE
MATSULU,1203,,NELSPRUIT
MARLANDS UIT 6,,1401,GERMISTON
KUTLWANONG,9480,9480,ODENDAALSRUS
LARRENDALE,,1541,BRAKPAN
MANOGE,1071,,MIDDELBURG
NIGEL EXT 1,,1491,NIGEL
MTHAMBO,4105,,UMBUMBULU
MAPETLA EXT,,1818,TSHIAWELO
NOORDWYK UIT 13,1687,,HALFWAY HOUSE
MEREWENT,,4052,DURBAN
MEREBANK,4059,4052,DURBAN
MEREDALE UIT 1,,2091,JOHANNESBURG
MOTHERWELL,6213,6211,PORT ELIZABETH
MONARCH,5100,,UMTATA
MONUMENTPARK UIT 5,,181,WATERKLOOF
MTEBELE,4990,,NQAMAKWE
NKUMBANYUSWA,4342,,NDWEDWE
MARIEVLEI UIT 20,1554,,BRAKPAN
MAMELODI GARDENS EXT 4,,122,MAMELODI
MIER,8811,,-
MABESKRAAL,313,,RUSTENBURG
MAILULU,,1475,RUSLOO
MINDALORE,,1739,KRUGERSDORP
NDABAKAZI,4962,,-
MOSSELBAAI UIT 4,,6506,MOSSELBAAI
NELSPRUIT EXT 15,,1201,NELSPRUIT
MOLELEKI,1437,,KATLEHONG UIT
MARLBORO-NOORD,2063,,JOHANNESBURG
MONTE VISTA,7463,7460,CAPE TOWN
MTWALUME,4186,,SCOTTBURGH
OK MALL,4275,,MARGATE
NEWLANDS WEST,,4037,MARBLE RAY
OU SPOORWEG GEBIED,,6255,KLIPPLAAT
MASIA,944,944,GIYANI
MORGANRIDGE,,1459,BOKSBURG
MUNNIKVILLE,,5435,DORDRECHT
NEW YORK,,7646,PAARL
MFULENI EXT 1,,7100,EERSTE RIVER
MINT VILLAGE,,8301,KIMBERLEY
NHLAZATSHE,3116,,VRYHEID
MFUNDO PARK,,1475,RUSLOO
MOODIEHILL,2057,,BRYANSTON
MOILETSWANE,203,,-
MANZI,5080,,MQANDULI
MOSSELBAAI UIT 8,,6506,MOSSELBAAI
MONTANAPARK,159,,PRETORIA
MOLTENO,5500,5500,-
ORANGE FARM UIT 5,1805,1805,ORANGE FARM
MADISANE,,2745,MAFIKENG
MAMELODI EXT 4,122,,MAMELODI
MOSSELBAAI UIT 23,,6506,MOSSELBAAI
KWATHANDUXOLO,2509,,CARLETONVILLE
LAVALIA,,6529,GEORGE EAST
KWA-DIMA,1025,,BRONKHORSTSPRUIT
LINDELANI,4220,,HIBBERDENE
MAPETLA UIT,,1818,TSHIAWELO
LOMBARDY WEST,,2090,JOHANNESBURG
KLIPFONTEIN UIT,,2194,JOHANNESBURG
KENRIDGE,,7550,DURBANVILLE
KWAVUKILE,6143,,GRAHAMSTOWN
LIBODE,5160,5160,-
KWANOBUHLE UIT 8A,,6242,KWANOBUHLE
LEEUDORING UIT,1780,,WESTONARIA
KWATHEMA EXT 2,,1575,KWATHEMA
KOTZESRUS,8204,,BITTERFONTEIN
KWAMTHOLE,3935,,MTUBATUBA
LES MARAIS,,84,PRETORIA
KURANTA,839,,GIYANI
MARIEVLEI,1554,,BRAKPAN
MOLOTOTSI,827,,GIYANI
NCISE,5107,,UMTATA
MAMABALA-DITLOU,896,,TRICHARDTSDAL
LANGEBERG RIDGE,,7550,DURBANVILLE
LENASIA SOUTH EXT 10,,1827,LENASIA
LAUDIUM EXT 2,,37,LAUDIUM
MADLANYOKA,3750,,MID ILLOVO
LAKEFIELD EXT 9,1501,,BENONI
LENASIA UIT 2,,1827,LENASIA
MEADOWHURST,2153,,JOHANNESBURG
MALMESBURY EXT 1,,7300,-
MAGALIES VIEW EXT 5,2067,,MAGALIES VIEW
MAKHADO,955,,DZANANI
MANTHATA,788,,SUPERBIA
MANZANA,5050,,ENGCOBO
MAKONYENI,3987,,JOZINI
MID-ENNERDALE,,1830,ODIN PARK
MEYERSDAL,1447,1448,ALBERTON
MAQWAKAZI,3815,,ESHOWE
MASHAMBA,942,942,LOUIS TRICHARDT
MOTSELEOPE,1075,,WITBANK
MEADOWLANDS,1851,1852,-
MILL HILL,2060,,BRYANSTON
NEW KABAH LOC,,6241,GAMBLEVILLE
KWADWESI FASE 1,,6201,ZWIDE
LAVENDER VALLEY EXT,,6139,GRAHAMSTOWN
MALANSHOF EXT 1,,2194,JOHANNESBURG
MDASHA,4216,,-
MAMELODI UIT 2,122,,MAMELODI
MARINA BEACH,4281,,MARGATE
MACKENZIE PARK EXT 1,,1501,BENONI
MBONDA,5090,,MOUNT FRERE
MEYERVILLE,2430,,STANDERTON
MAYFIELD VILLAGE,7780,,LANSDOWNE
LAUDINA,6463,6463,UNIONDALE
MBEKA,3232,,-
MIMOSA PLACE,4153,,ISIPINGO
MONAKATO,331,,RUSTENBURG
MOUNTAIN VIEW,,1055,MIDDELBURG
MGODI,3227,,IMPENDLE
KOSMOS PARK,,2429,STANDERTON
KWA MUSI,3950,,NONGOMA
MATLAPANENG,8605,,TAUNG STATION
MSIBI,2384,,PIET RETIEF
MAFATSANA,1981,1984,SEBOKENG
LUXOLWENI,5880,,CRADOCK
M'LAPA-KGOMO,1373,,-
MASKAHANE,,7220,GANS BAY
MALUNGA PARK,,7750,GUGULETU
MEYERHOF,,7530,BELLVILLE
MAMADI,962,,-
NABOOMSPRUIT,560,,-
NEW LOCATION,,9650,HEILBRON
MOBA,3370,,LADYSMITH
LUFUTA,5455,,CALA
MESSINA UIT,,900,MESSINA
MARA,,934,LOUIS TRICHARDT
MSINDO,456,,MARBLE HALL
MOOINOOI,325,,-
NEWLANDS UIT 2,49,,PRETORIA
MAKOKONO,318,,SAULSPOORT
MANCINZA,4035,,MARBLE RAY
MQELE,5080,,MQANDULI
MANZIMAHLE,5455,,CALA
MOSSELBAAI UIT 13,,6506,MOSSELBAAI
NAMAKGALE,1391,1391,PHALABORWA
MUDEN,3251,,GREYTOWN
MOKWATHI,838,,GAKGAPANE
LOUIS TRICHARDT,920,920,-
MBOTYI,4820,,LUSIKISIKI
MOHWABATSANA,4770,,MOUNT FLETCHER
MEYERTON EXT 6,,1961,MEYERTON
MELKHOUTFONTEIN,6676,,STILL BAY
MAOKENG EXT 1,,1632,TEMBISA
NATURE'S VALLEY,,7130,SOMERSET WEST
MARTINDALE,,2092,JOHANNESBURG
NAAS FARM,2952,,OSIZWENI
MOLAPO UIT 2,,1818,TSHIAWELO
MENLO PARK,102,81,-
NEDERLANDPARK,,2351,ERMELO
MFULENI UIT 1,,7100,EERSTERIVIER
MOLELEKE UIT 3,,1434,KWENZEKILE
MAGALIES VIEW EXT 30,2067,,MAGALIES VIEW
LWAMONDO,985,,GIYANI
NASHVILLE,,1809,PIMVILLE
MASAKENG,9745,9745,LADYBRAND
MILKWOODPARK,,7975,FISH HOEK
NAPIERVILLE,,3201,PIETERMARITZBURG
NEW BRIGHTON,,5780,BEDFORD
NINAPARK UIT 3,156,,NINAPARK
ONDERSTEPOORT,110,,PRETORIA
PAARDEN ISLAND,7420,7405,CAPE TOWN
MDENI,5183,,QUMBU
MAPETLA UIT 2,,1818,TSHIAWELO
KEIMOES UIT 6,,8860,KEIMOES
LADYSMITH,3370,3370,LADYSMITH
KYALAMI,1684,,HALFWAY HOUSE
LENASIA UIT,,1827,LENASIA
LYTTELTON MANOR EXT 3,,157,CENTURION
LYTTELTON UIT 1,,157,LYTTELTON
LEGOGOTE,1257,,-
MILNER EST,,7780,LANSDOWNE
LAMBANI,906,,SIBASA
LEPHOI,9992,9992,BETHULIE
LINDO PARK-OOS,,186,-
MAGALIESSIG UIT 5,2067,,MAGALIESSIG
LOWER TSP,,6280,GRAAFF-REINET
MAQHIKIZANA,4126,,DOONSIDE
KWATHEMA UIT,1576,,KWATHEMA
LERORO DGD,1273,,GRASKOP
KIRKNEY,,182,PRETORIA NORTH
KLIPTOWN EXT 1,,1811,ELDORADOPARK
LENNOX EST,,5201,EAST LONDON
KROONVALE-SUID,,6280,GRAAFF-REINET
KWANOBUHLE EXT 1,,6242,KWANOBUHLE
LITTLE FALLS UIT 2,1735,,STRUBENSVALLEI
MALIBU VILLAGE,,7100,EERSTE RIVER
MHINGA,,976,MUTHATHI
KRANSHOEK,6605,,PLETTENBERG BAY
KWAHERMANS,5100,,UMTATA
KREUPELBOSCH,,7945,BERGVLIET
KOKANJE,515,,NYLSTROOM
LODEYKO,,1559,SPRINGS
MOHLAKENG UIT 3,1766,1759,MOHLAKENG
MQANDULI,5080,5080,-
MANGOLOANENG,4790,,MOUNT FLETCHER
MEREDALE EXT 2,,2091,JOHANNESBURG
LONEHILL UIT 37,2062,,JOHANNESBURG
KWANOBUHLE EXT 8A,,6242,KWANOBUHLE
LINDELANI,,4449,STANGER
KRANSFONTEIN,9706,,BETHLEHEM
LINDEN EXT,,2194,JOHANNESBURG
MBULWANE,3250,,GREYTOWN
MOTETEMA,473,,GROBLERSDAL
MASINCEDANE,5133,,-
MATIMATOLO,3250,,GREYTOWN
MATJEKA,820,,PIETERSBURG
MEREDALE EXT 12,,2091,JOHANNESBURG
MISTKRAAL,6121,,KIRKWOOD
MORELETAPARK EXT 20,44,,MORELETAPARK
MAGALIES VIEW EXT 9,2067,,MAGALIES VIEW
MOBANTU,5100,,UMTATA
MORET EXT 3,,2194,JOHANNESBURG
MAMELODI UIT,,122,MAMELODI
LOUISVALEWEG,8801,,UPINGTON
LYNDHURST,,8301,KIMBERLEY
MAGAWENI,,4399,TONGAAT
MIDDELVLEI,1764,,KOCKSVLEI
MAYVILLE,4058,4091,DURBAN
MAMELODI EXT 3,122,,MAMELODI
MBABAZANE,3214,,PIETERMARITZBURG
MONTANAPARK EXT 5,159,,MONTANAPARK
NOCOMBOSHE,3010,,TUGELA FERRY
NEWTOWN,2113,2001,JOHANNESBURG
MAKGOFE SUPERMARK,751,,SESHEGO
LENASIA EXT 11,1821,,LENASIA
LONEHILL EXT 37,2062,,JOHANNESBURG
MARCELLE,6191,,KENTON ON SEA
MATCO,2275,,KRIEL
MALVERN EAST EXT 2,,1401,PRIMROSE
MARAPALLO,378,,RUSTENBURG
MINERVA PARK,,5247,EAST LONDON
MAKUYA,,973,THOHOYANDOU
MARIANN RIF,,3610,PINETOWN
MIEDERPARK,2527,2531,POTCHEFSTROOM
LAMBTON GARDENS,,1428,ELSBURG
LINDHAVEN UIT 3,,1724,ROODEPOORT
MEYERSPARK UIT 6,,184,SILVERTON
MALEKUTU,1256,,WHITE RIVER
MILBANK,3624,,PINETOWN
MOROJANENG,9940,9940,DEWETSDORP
MPUMELELO,3200,,PIETERMARITZBURG
NEWLANDS EXT 1,49,,PRETORIA
NEWTON,,8301,KIMBERLEY
MOERASRIVIER,6300,,HUMANSDORP
MARLBORO-SUID,2063,,JOHANNESBURG
MONTSHIWA UNIT 15,,2737,MONTSHIWA
NSINGANE,4470,,STANGER
MOSSEL BAY EXT 13,,6506,MOSSEL BAY
MANDELA PARK,1435,,KATLEHONG EXT
MEREDALE EXT 1,,2091,JOHANNESBURG
MARLBOROUGH PARK,,7560,BRACKENFELL
MORELIG,,9701,BETHLEHEM
OLD BLACK TSP,5460,,ELLIOT
MONAVONI,149,,WIERDAPARK
MT ELLIAS,3236,,DALTON
NEW ZWELETEMBA,,6850,WORCESTER
NEWLANDS EXT 2,49,,PRETORIA
MTUNZINI,3867,,-
MONTANAPARK UIT 5,159,,MONTANAPARK
MARIMBA GARDENS EXT 6,,1475,RUSLOO
NEWVILLE,2114,,JOHANNESBURG
MKAMBATI,4814,,FLAGSTAFF
MPOLWENI,3225,,PIETERMARITZBURG
NEWCASTLE,2940,,NEWCASTLE
MABOLOKA,197,,MABOPANE
MARLBORO NORTH,2063,,JOHANNESBURG
MAYBERRY PARK UIT 1,,1448,ALBERTON
MAYOR'S WALK,3208,3201,PIETERMARITZBURG
MONTAGU,6720,6720,-
MEREDALE EXT 11,,2091,JOHANNESBURG
MONYWANENG,767,,LONSDALE
LOWER HOUGHTON,,2198,JOHANNESBURG
KINGS FLATS UIT 6,,6139,GRAHAMSTAD
KEIMOES UIT 8,,8860,KEIMOES
KHAYALITSHA,4960,,BUTTERWORTH
KWASHELENI,4035,,MARBLE RAY
MAKULA SECTION,,1431,KATLEHONG
MARIEVLEI UIT 10,1554,,BRAKPAN
MACKENZIEVILLE,,1491,NIGEL
LENASIA EXT 11B,1821,,LENASIA
MARLANDS UIT 8,,1401,GERMISTON
MEADOWLANDS UIT 8,,1852,MEADOWLANDS
MORELETAPARK EXT 19,44,,MORELETAPARK
KUTLWANONG,8301,,KIMBERLEY
MAGALIES VIEW EXT 22,2067,,MAGALIES VIEW
MAPONTO,823,,PIETERSBURG
MBEKWENI,7626,7655,PAARL
MBUQE EXT,5100,5100,UMTATA
MALABAR EXT 2,,6020,PORT ELIZABETH
MARE,1059,,-
KWA DADA,3200,,PIETERMARITZBURG
LYNNWOOD GLEN,,81,MENLO PARK
MARKET SQUARE,,9499,KROONSTAD
MAYFAIR-WES,,2092,JOHANNESBURG
MLALAZI,3815,,ESHOWE
MONDEOR UIT 5,,2091,JOHANNESBURG
MONUMENTPARK EXT 3,,181,WATERKLOOF
MONUMENT UIT 1,,1739,KRUGERSDORP
MANDELA PARK,,7806,HOUT BAY
MOKOMENE,811,,-
LITTLE FALLS EXT 1,1735,,STRUBENS VALLEY
KWAZAMOKUHLE EXT,1098,,KWAZAMOKUHLE
LA MONTAGNE UIT 3,,184,SILVERTON
MACKSAME,3227,,IMPENDLE
MAGALIESSIG UIT 9,2067,,MAGALIESSIG
MAGIDELA,3263,,CREIGHTON
MAGININDANE,4207,,UMZINTO
MASAMANE,2757,,-
MFUME,4160,,AMANZIMTOTI
MURRAYFIELD EXT,,184,SILVERTON
MANDELA PARK,9430,,VIRGINIA
MANDLANKALA,3887,,ESIKHAWINI
MBUTU,4820,,LUSIKISIKI
LETHAKANENE,250,,BRITS
LUSIKISIKI,4820,4820,-
MAKLI,4960,,BUTTERWORTH
MEADOWLANDS EXT 12,,1852,MEADOWLANDS
LADY FRERE,5410,,-
LINDEN UIT 1,,2195,JOHANNESBURG
LUBALEKO,4735,,MOUNT AYLIFF
MAKHALANENG,9870,,-
MATSHENG,8594,,TAUNG STA
MERAFE,1823,,LENASIA
MIDDELBURG NORTH,1079,,MIDDELBURG
MENLYN,63,181,PRETORIA
MARIKANA,284,,-
NEW CLYDESDALE,2245,,VAN DYKSDRIF
LOUW'S BUSH,,7490,ELSIES RIVER
LUSHABA,3855,,NKANDLA
MDC,7800,,-
MERRIVALEHOOGTE,,3291,MERRIVALE
MONTAGU'S GIFTS,,7941,GRASSY PARK
MERRIVALE,3291,3291,HOWICK
MONT AUX SOURCES,3350,,BERGVILLE
MORELETAPARK UIT 19,44,,MORELETAPARK
MONTANAPARK UIT 12,159,,MONTANAPARK
NEWLANDS,49,,PRETORIA
NORTHDALE,3221,3201,PIETERMARITZBURG
OATLANDS KHW,,1739,KRUGERSDORP
MDANTSANE,5219,5219,EAST LONDON
MODUTUNG VILLAGE,8575,,MAGOGONG
MOREHILL EXT 2,,1501,BENONI
MORELETAPARK UIT 50,44,,MORELETAPARK
MAPETLA UIT 3,,1818,TSHIAWELO
NDOMBENI,3935,,MTUBATUBA
MULBARTON EXT 4,2059,,JOHANNESBURG
MAGALIES VIEW EXT 7,2067,,MAGALIES VIEW
MOLWENI,3653,,-
MALVERN EAST EXT 2,,2007,BEDFORDVIEW
NGQELENI,5140,5140,-
MBANGCOLO,5000,,IDUTYWA
MHLUZI UIT 1,,1055,MIDDELBURG
NOORDHOEK,,9301,BLOEMFONTEIN
MIGDOL,2775,,SCHWEIZER-RENEKE
MURCHISON STREET,2940,,NEWCASTLE
NUWE LOKASIE,,6280,GRAAFF-REINET
MADIBA,4142,,CHATSWORTH
MAGALIESKRUIN UIT 9,150,,MAGALIESKRUIN
MAMELODI EAST EXT 4,,122,MAMELODI
MONTANA,,6830,WOLSELEY
MARIANHILL MONASTERY,3624,,PINETOWN
MAMAHABANE,,9450,VENTERSBURG
MARLBORO GARDENS,2063,,MARLBORO
MERRYDALE PARK,,7785,MITCHELLS PLAIN
METSIMAHOLO,1995,,ORANJEVILLE
MBOZISA,5100,,UMTATA
MEREDALE EXT 7,,2091,JOHANNESBURG
NIRVANA EST,,7806,CONSTANTIA
PAKANENG,1076,,WITBANK
PIET RETIEF,2380,,-
OUPLAAS,,6571,KNYSNA
NORTHCLIFF EXT 25,,2195,FLORIDA
MMAKGODU,779,,SUPERBIA
MIDDELPOS,,7395,SALDANHA
NEDERBURG,7627,7646,HUGUENOT
MEYERTON EXT 3,,1961,MEYERTON
MARBURG UIT 6,4240,,PORT SHEPSTONE
MAKOPANE UIT 24,,601,POTGIETERSRUS
MANANGA,1354,,SKUKUZA
MAKAOTA,9333,,-
MAKGOBISTAD,2750,,MAFIKENG
LENASIA SOUTH,1835,,LENASIA
KWA-THEMA WEST,1571,,SPRINGS
MAGALIESSIG UIT 31,2067,,MAGALIESSIG
MAKOKSKRAAL,2712,,VENTERSDORP
LINTON GRANGE,6015,6025,PORT ELIZABETH
MNGADI,,1434,KWENZEKILE
MEIRINGSPARK,,2571,KLERKSDORP
MALKOPBAAI,,8130,LAMBERTSBAAI
MEADOWS,,3201,PIETERMARITZBURG
NEW LOCATION,2380,,PIET RETIEF
MANENZHE,967,,-
LEPELSFONTEIN,8207,,VREDENDAL
MARLANDS EXT 8,,1401,GERMISTON
MANDELA VILLAGE,1022,,KWAMHLANGA
MOSELEKE,,1434,KWENZEKILE
MONAKHI,881,,PIETERSBURG
MOFFAT VIEW,,2197,JOHANNESBURG
MAGALIESKRUIN,150,,PRETORIA
MONUMENTPARK UIT 4,,181,WATERKLOOF
LINBRO PARK,2065,,JOHANNESBURG
LENTEGEUR,7786,7785,MITCHELLS PLAIN
MOLORWE,373,,-
MARIESHAFT,,1491,NIGEL
MZIWABANTU,8782,,BRITSTOWN
LEAGLEN,,1709,FLORIDA
MAGALIESSIG UIT 8,2067,,MAGALIESSIG
NEW BRIGHTON,7070,,VICTORIA WEST
MALANSHOF EXT 3,,2194,JOHANNESBURG
MINDALORE SOUTH,,1739,KRUGERSDORP
MAMELODI-OOS UIT 5,,122,MAMELODI
MAPETLA-OOS,,1818,TSHIAWELO
MONTANAPARK UIT 30,159,,MONTANAPARK
MAYE,3950,,NONGOMA
MAMELODI-OOS UIT 6,,122,MAMELODI
MNINI,4126,,ILLOVO BEACH
MZAMBA,4800,,BIZANA
MODELPARK,,1034,WITBANK
MUSGRAVE,,4001,DURBAN
MONUMENTPARK,105,181,PRETORIA
NOORDWYK EXT 10,1687,,HALFWAY HOUSE
MOKGOPHONG,564,,NABOOMSPRUIT
MDLAZI,5090,,MOUNT FRERE
MOLOPO,2751,,MAFIKENG
NEW LOCATION,9950,9950,ZASTRON
MFUNDO PARK UIT 11,,1475,RUSLOO
LUZUPU,4820,,LUSIKISIKI
MPARANE,5100,,UMTATA
MOSTERTSDRIFT,,7600,STELLENBOSCH
NHLUNGWANE,3865,,MAHLABATINI
MEDICAL SCHEME,4047,,DURBAN
MALANSHOF EXT 4,,2194,JOHANNESBURG
MKHOBOZA,3887,,ESIKHAWINI
MANZENGWENYA,3985,,JOZINI
MOLELEKI,1437,,KATLEHONG EXT
MPOZOLO,5018,,IDUTYWA
LUSAKA,,9323,GASEHUNELO
MKHUHLU,1246,,HAZYVIEW
MAYVILLE,,84,PRETORIA
MFUNDO PARK EXT 11,,1475,RUSLOO
NETREG,,7764,GATESVILLE
MMUTLANE,1128,,DRIEKOP
NKANGALA,3935,,MTUBATUBA
MABHUYENI,3880,,EMPANGENI
MATAMELA,8,,-
MARIANNHILL INDUSTRIAL PARK,3610,,PINETOWN
NEW BRIGHTON,,2196,JOHANNESBURG
MATLALANE,642,,REBONE
NGWELEZANA,3880,,EMPANGENI
MIDDELBURG-NOORD,1079,,MIDDELBURG
MARKET SQUARE,,5601,KING WILLIAMS TOWN
MURRAYSBURG,6995,6995,-
MALANSHOF UIT 5,,2194,JOHANNESBURG
NEWLANDS EXT,,81,PRETORIA
NOORDHOEK,,9499,KROONSTAD
NORTHWOLD EXT 21,2155,,NORTHWOLD
NOORDWYK UIT 14,1687,,NOORDWYK
MARLBORO UIT 1,2063,,JOHANNESBURG
NORTHCLIFF UIT 20,,1709,FLORIDA
MEYERTON UIT 6,,1961,MEYERTON
NORTHCLIFF UIT 22,,2195,JOHANNESBURG
PIENAARSDORP,,2571,KLERKSDORP
MCNAMEE VILLAGE,,6200,PORT ELIZABETH
MONUMENTPARK UIT 8,,181,WATERKLOOF
NOLDICK,,1961,MEYERTON
MOSEL,,6229,UITENHAGE
NCUNCUZO,5380,,COFIMVABA
MELVILLE,2109,2092,JOHANNESBURG
MULBARTON UIT 3,2059,,JOHANNESBURG
MARKEN,605,,POTGIETERSRUS
MARCONI BEAM,7447,,MILNERTON
MOSSEL BAY EXT 26,,6506,MOSSEL BAY
NELSPRUIT UIT 9,,1201,NELSPRUIT
NSAVULANI,842,,GIYANI
MTHAMBOTHINI,462,,SIYABUSWA
NELSPRUIT UIT 4,,1201,NELSPRUIT
MATYENI,5090,,MOUNT FRERE
MARKPLEIN,,8301,KIMBERLEY
NONZWAKAZI,,7000,DE AAR
NEW CANADA,,2093,JOHANNESBURG
NKOMO,840,,GIYANI
NORTHCLIFF UIT 16,,2195,JOHANNESBURG
PACALTSDORP,6534,6529,GEORGE
LITTLEFILLAN,2057,,BRYANSTON
MAPETLA EXT 3,,1818,TSHIAWELO
KWATHEMA EXT 1,,1575,KWATHEMA
LAKESIDE,3100,,VRYHEID
MAHEKGWE,847,,GAKGAPANE
LEKGOPHUNG,2884,2884,ZEERUST
MALANSHOF EXT 2,,2194,JOHANNESBURG
LENASIA EXT 1,,1827,LENASIA
LYNNRODENE,,81,MENLO PARK
LAND EN ZEEZICHT,,7130,SOMERSET WEST
LAKEVIEW UIT 5,,2091,JOHANNESBURG
LENZ,1822,,-
MALVERN EAST EXT 6,,1401,PRIMROSE
MOLEKETLA,868,,TZANEEN
MALVERN-OOS UIT 2,,1401,PRIMROSE
KLOOFMYN,1780,,WESTONARIA
KOMANI,5322,5319,QUEENSTOWN
MAHEHLE,3263,,CREIGHTON
MALELANE,1320,,-
LYTTELTON MANOR UIT 2,,157,LYTTELTON
MANDELA SQUATER CAMP,2210,,DELMAS
MARTINVILLE,,7130,SOMERSET WEST
LYNNWOODRIF,40,81,PRETORIA
MAKHASA,3960,,HLUHLUWE
LAST POST,5083,,MQANDULI
MAGOGONG,8575,8575,-
MAGOG,4240,,PORT SHEPSTONE
LETLHABILE BLOCK C,264,,BRITS
MABILLE PARK,,7580,KUILS RIVER
NEWFIELDS,,7764,ATHLONE
MTOZELO,5180,,QUMBU
LOTUS PARK,4153,,ISIPINGO
LENASIA UIT 11B,1821,,LENASIA
MAGALIESSIG UIT 22,2067,,MAGALIESSIG
LYME PARK UIT 2,2060,,BRYANSTON
MANGENI,3135,,NQUTU
LYNDHURST,2106,2192,JOHANNESBURG
MOBENI HEIGHTS,,4092,DURBAN
